Organization,ID/CDC,Administration,Tested Grade,STAAR - Mathematics|Tests Taken,STAAR - Mathematics|Average Scale Score,STAAR - Mathematics|Performance Levels|Did Not Meet|Count,STAAR - Mathematics|Performance Levels|Did Not Meet|Percentage,STAAR - Mathematics|Performance Levels|Approaches and Above|Count,STAAR - Mathematics|Performance Levels|Approaches and Above|Percentage,STAAR - Mathematics|Performance Levels|Meets and Above|Count,STAAR - Mathematics|Performance Levels|Meets and Above|Percentage,STAAR - Mathematics|Performance Levels|Masters|Count,STAAR - Mathematics|Performance Levels|Masters|Percentage,STAAR - Reading|Tests Taken,STAAR - Reading|Average Scale Score,STAAR - Reading|Performance Levels|Did Not Meet|Count,STAAR - Reading|Performance Levels|Did Not Meet|Percentage,STAAR - Reading|Performance Levels|Approaches and Above|Count,STAAR - Reading|Performance Levels|Approaches and Above|Percentage,STAAR - Reading|Performance Levels|Meets and Above|Count,STAAR - Reading|Performance Levels|Meets and Above|Percentage,STAAR - Reading|Performance Levels|Masters|Count,STAAR - Reading|Performance Levels|Masters|Percentage
STATE,,Spring 2025,3,376511,1460,113055,30,263456,70,168974,45,72651,19,363696,1477,80819,22,282877,78,189705,52,84498,23
STATE,,Spring 2025,4,381087,1565,120862,32,260225,68,174484,46,90950,24,371514,1555,69213,19,302301,81,199738,54,88802,24
STATE,,Spring 2025,5,383302,1641,103311,27,279991,73,177252,46,84011,22,378299,1610,88276,23,290023,77,218941,58,114344,30
STATE,,Spring 2025,6,390074,1721,108579,28,281495,72,146977,38,59859,15,396501,1650,97428,25,299073,75,215067,54,111226,28
STATE,,Spring 2025,7,299218,1753,143351,48,155867,52,93135,31,31350,10,398260,1667,103022,26,295238,74,206143,52,105606,27
STATE,,Spring 2025,8,372216,1859,116312,31,255904,69,166788,45,64689,17,397840,1721,80029,20,317811,80,224652,56,122960,31
STATE,,Spring 2024,3,373259,1451,115332,31,257927,69,152500,41,56352,15,359823,1461,91281,25,268542,75,175763,49,75305,21
STATE,,Spring 2024,4,377761,1556,121991,32,255770,68,168751,45,77480,21,368567,1554,69345,19,299222,81,186700,51,84343,23
STATE,,Spring 2024,5,380596,1639,92287,24,288309,76,186329,49,72612,19,375573,1606,81297,22,294276,78,202654,54,107846,29
STATE,,Spring 2024,6,387459,1716,118298,31,269161,69,143744,37,49740,13,394035,1642,100290,25,293745,75,214541,54,96671,25
STATE,,Spring 2024,7,324116,1754,151428,47,172688,53,103354,32,33007,10,397573,1669,110662,28,286911,72,207051,52,110732,28
STATE,,Spring 2024,8,356728,1849,107934,30,248794,70,143519,40,52626,15,402885,1716,86456,21,316429,79,217936,54,113613,28
STATE,,Spring 2023,3,370006,1456,102657,28,267349,72,160917,43,68492,19,356558,1458,83140,23,273418,77,179475,50,70791,20
STATE,,Spring 2023,4,373988,1558,113815,30,260173,70,174256,47,80936,22,365035,1536,81384,22,283651,78,172182,47,78196,21
STATE,,Spring 2023,5,378663,1645,77842,21,300821,79,188585,50,79065,21,372677,1602,72656,19,300021,81,208262,56,105364,28
STATE,,Spring 2023,6,384766,1716,101467,26,283299,74,143923,37,56083,15,391376,1633,96932,25,294444,75,197580,50,84081,21
STATE,,Spring 2023,7,331698,1761,130715,39,200983,61,115414,35,33881,10,400416,1669,93530,23,306886,77,210145,52,105249,26
STATE,,Spring 2023,8,364110,1856,94253,26,269857,74,159497,44,58570,16,410472,1714,74738,18,335734,82,228001,56,110490,27
STATE,,Spring 2022,3,364687,1440,108765,30,255922,70,152198,42,75264,21,350421,1462,79888,23,270533,77,181822,52,108981,31
STATE,,Spring 2022,4,370882,1546,116264,31,254618,69,153457,41,84328,23,359632,1542,81403,23,278229,77,193915,54,102590,29
STATE,,Spring 2022,5,376847,1613,91504,24,285343,76,175245,47,91090,24,369554,1606,72144,20,297410,80,211059,57,135980,37
STATE,,Spring 2022,6,386757,1619,109104,28,277653,72,143016,37,58795,15,393544,1590,122657,31,270887,69,163745,42,88361,22
STATE,,Spring 2022,7,350439,1626,143824,41,206615,59,102537,29,43240,12,410398,1684,88461,22,321937,78,222886,54,150138,37
STATE,,Spring 2022,8,356871,1671,108650,30,248221,70,134615,38,47141,13,411185,1710,75625,18,335560,82,231367,56,150167,37
STATE,,Spring 2021,3,325064,1409,125805,39,199259,61,97070,30,46356,14,310193,1417,100053,32,210140,68,119315,38,59633,19
STATE,,Spring 2021,4,330460,1522,137178,42,193282,58,114608,35,69505,21,318025,1483,118437,37,199588,63,114384,36,55770,18
STATE,,Spring 2021,6,344115,1606,115929,34,228186,66,118166,34,49752,14,349453,1558,135438,39,214015,61,108164,31,49237,14
STATE,,Spring 2021,7,295490,1614,136165,46,159325,54,75157,25,32242,11,345936,1631,109435,32,236501,68,151556,44,85269,25
